Rank,Name,Location,Price_Tier
1,La Cúpula de El Capricho,"Jiménez de Jamuz, Spain",4
2,Margaret,"Sydney, Australia",4
3,Laia Erretegia,"Hondarribia, Spain",4
4,I Due Cippi,"Saturnia, Italy",4
5,Lana,"Madrid, Spain",4
6,Casa Julián de Tolosa,"Tolosa, Spain",4
7,Ibai,"London, United Kingdom",4
8,AG,"Stockholm, Sweden",4
9,Burnt Ends,Singapore,4
10,Bodega El Capricho,"Jiménez de Jamuz, Spain",4
11,Firedoor,"Sydney, Australia",4
12,The Eighty Six,"New York, USA",4
13,Hawksmoor,"London, United Kingdom",4
14,Aalia,"Sydney, Australia",4
15,Asador Bastian,"Chicago, USA",4
16,Arkhé,"Adelaide, Australia",4
17,Brat,"London, United Kingdom",4
18,Fireside,Hong Kong,4
19,Gillis,"Gent, Belgium",4
20,Agnes,"Brisbane, Australia",4
21,Cote,"New York, USA",3
22,Steer Dining Room,"Melbourne, Australia",3
23,Cut by Wolfgang Puck,"Beverly Hills, USA",3
24,Vaca Vieja,"Madrid, Spain",3
25,Bistecca,"Sydney, Australia",3
26,The Grill,"New York, USA",3
27,Rockpool Bar & Grill,"Sydney, Australia",3
28,Asador Etxebarri,"Axpe, Spain",3
29,Gwen,"Los Angeles, USA",3
30,Nikuya Tanaka,Singapore,3
31,Kitty Fisher’s,"London, United Kingdom",3
32,Prime,"Sydney, Australia",3
33,Keens Steakhouse,"New York, USA",3
34,La Tête d'Or,"New York, USA",3
35,Woodcut,"Sydney, Australia",3
36,Asador Nicolás,"Tolosa, Spain",3
37,The Butcher’s Block,Singapore,3
38,Chop House,"London, United Kingdom",3
39,Bistecca Tuscan Steakhouse,Singapore,3
40,The Cut Bar & Grill,"Sydney, Australia",3
41,Aragawa,"London, United Kingdom",3
42,Beast,"London, United Kingdom",3
43,Minetta Tavern,"New York, USA",3
44,4 Charles Prime Rib,"New York, USA",3
45,Amaren,"Bizkaia, Spain",3
46,CHAR Fuego y Brasas,"Tenerife, Spain",3
47,Grill Americano,"Melbourne, Australia",3
48,Porter House,"New York, USA",3
49,The Gidley,"Sydney, Australia",3
50,Txula Steak,"New York, USA",3
51,Jacobs & Co. Steakhouse,"Toronto, Canada",3
52,VUUR Restaurant,"Stellenbosch, South Africa",3
53,Clover Grill,"Paris, France",3
54,The Blockman,"Johannesburg, South Africa",3
55,Chelsea Grill,"London, United Kingdom",3
56,Anahi,"Paris, France",3
57,Baltaire Restaurant,"Los Angeles, USA",3
58,Asina Luna,"Milan, Italy",3
59,20 Chapel,"Sydney, Australia",3
60,11 Woodfire,"Dubai, UAE",3
61,The Guinea Grill,"London, United Kingdom",3
62,Zoilo,"London, United Kingdom",3
63,Soichiro,"Jakarta, Indonesia",3
64,Fat Rabbit,"Strem, Austria",3
65,Sagardi,"London, United Kingdom",3
66,The Grand Bar & Grill,"Helsinki, Finland",3
67,American Cut,"New York, USA",3
68,Gallaghers Steakhouse,"New York, USA",3
69,Shell House,"Sydney, Australia",3
70,Gage & Tollner,"New York, USA",3
71,Swift & Sons,"Chicago, USA",3
72,Happening,"Buenos Aires, Argentina",3
73,Meatmaiden,"Melbourne, Australia",3
74,The Steak House,Hong Kong,3
75,Matilda 159,"Melbourne, Australia",3
76,Carna by Dario Cecchini,Hong Kong,3
77,Bavette's Bar & Boeuf,"Chicago, USA",3
78,SK Steak & Oyster,"Brisbane, Australia",3
79,Beef Meat & Wine,"Kyiv, Ukraine",3
80,Firewood,"George Town, Malaysia",3
81,Regina Bistecca,"Florence, Italy",3
82,Maven,"Antwerp, Belgium",3
83,Shatoburian,Singapore,3
84,Elisa,"Vancouver, Canada",3
85,Fogón Asado,"Buenos Aires, Argentina",3
86,Beef & Glory,"Vienna, Austria",3
87,The Coal Shed,"Brighton, United Kingdom",3
88,Bistecca Tuscan Steakhouse,Singapore,3
89,Niku Katsumata,"Tokyo, Japan",3
90,BEEF Geneve,"Geneva, Switzerland",3
91,A Figueira Rubaiyat,"São Paulo, Brazil",3
92,Carnal Steak House,"Barcelona, Spain",3
93,Miller & Lux,"San Francisco, USA",3
94,The Grill at The Dorchester,"London, United Kingdom",3
95,Butcher and Singer,"Philadelphia, USA",3
96,Gibsons Italia,"Chicago, USA",3
97,Peter Luger,"New York, USA",3
98,Manny’s Steakhouse,"Minneapolis, USA",3
99,Bern’s Steak House,"Tampa, USA",3
100,The Prime Rib,"Baltimore, USA",3
101,Pappas Bros. Steakhouse,"Houston, USA",3
